#,Scope,Type,Question,deprecated,Single Interpretation,Correct_Query
1021,application,Analytical,What is the total time spent on process applications for this CES persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1022,application,Analytical,What is the total time spent on process applications for this Do Not Use persona,yes,yes,not_evaluated
1023,application,Analytical,What is the total time spent on process applications for this TEST persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1024,application,Analytical,What is the total time spent on non process applications for this LES persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1025,application,Analytical,What is the total time spent on non process applications for this CES persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1026,application,Analytical,What is the total time spent on non process applications for this Do Not Use persona,yes,yes,not_evaluated
1027,application,Analytical,What is the total time spent on non process applications for this TEST persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1028,application,Analytical,What is the average time spent in non process applications per day for this LES persona,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type=0 AND persona_name='LES' AND event_date>='2023-04-01' AND event_date<='2023-04-30' LIMIT 1
1029,application,Analytical,What is the average time spent in non process applications per day for this CES persona,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1030,application,Analytical,What is the average time spent in non process applications per day for this Do Not Use persona,yes,yes,not_evaluated
1031,application,Analytical,What is the average time spent in non process applications per day for this TEST persona,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1032,application,Analytical,What is the average time spent in process applications per day for this LES persona,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type!=0 AND persona_name='LES' AND event_date>='2023-04-01' AND event_date<='2023-04-30' LIMIT 1
1033,application,Analytical,What is the average time spent in process applications per day for this CES persona,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1034,application,Analytical,What is the average time spent in process applications per day for this Do Not Use persona,yes,yes,not_evaluated
1035,application,Analytical,What is the average time spent in process applications per day for this TEST persona,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type!=0 AND persona_name='TEST' AND event_date>='2023-04-01' AND event_date<='2023-04-30' LIMIT 1
1036,case,Analytical,What is the total cases in this LES persona,no,yes,SELECT COUNT(DISTINCT case_id_value) AS total_cases FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1037,case,Analytical,What is the total cases in this CES persona,no,yes,SELECT COUNT(DISTINCT case_id_value) AS total_cases FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1038,case,Analytical,What is the total cases in this Do Not Use persona,yes,yes,not_evaluated
1039,case,Analytical,What is the total cases in this TEST persona,no,yes,SELECT COUNT(DISTINCT case_id_value) AS total_cases FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1040,case,Analytical,What is the average case effort of this LES persona,no,yes,SELECT SUM(tat_event)/COUNT(DISTINCT case_id_value) AS avg_case_effort FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1041,case,Analytical,What is the average case effort of this CES persona,no,yes,SELECT SUM(tat_event)/COUNT(DISTINCT case_id_value) AS case_effort FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1042,case,Analytical,What is the average case effort of this Do Not Use persona,yes,yes,not_evaluated
1043,case,Analytical,What is the average case effort of this TEST persona,no,yes,SELECT SUM(tat_event)/COUNT(DISTINCT case_id_value) AS case_effort FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1044,activity,Analytical,Which is the most common activity in this LES persona,no,yes,"SELECT activity_id, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_id ORDER BY count DESC LIMIT 1"
1045,activity,Analytical,Which is the most common activity in this CES persona,no,yes,"SELECT activity_id, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_id ORDER BY count DESC LIMIT 1"
1046,activity,Analytical,Which is the most common activity in this Do Not Use persona,yes,yes,not_evaluated
1047,activity,Analytical,Which is the most common activity in this TEST persona,no,yes,"SELECT activity_id, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_id ORDER BY count DESC LIMIT 1"
1048,case,Analytical,What is the average cases per day worked on in this LES persona,no,yes,"SELECT AVG(count_distinct_case_id_value) as average_cases_per_day FROM (SELECT COUNT(DISTINCT case_id_value) as count_distinct_case_id_value, DATE(event_time) as date FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY date)"
1049,case,Analytical,What is the average cases per day worked on in this CES persona,no,yes,"SELECT AVG(count_distinct_case_id_value) as average_cases_per_day FROM (SELECT COUNT(DISTINCT case_id_value) as count_distinct_case_id_value, DATE(event_time) as date FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY date)"
1050,case,Analytical,What is the average cases per day worked on in this Do Not Use persona,yes,yes,not_evaluated
1051,case,Analytical,What is the average cases per day worked on in this TEST persona,no,yes,"SELECT AVG(count_distinct_case_id_value) as average_cases_per_day FROM (SELECT COUNT(DISTINCT case_id_value) as count_distinct_case_id_value, DATE(event_time) as date FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY date)"
1052,activity abstraction,Descriptive,Which is the most common activity abstraction in this LES persona,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 3"
1053,activity abstraction,Descriptive,Which is the most common activity abstraction in this CES persona,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1"
1054,activity abstraction,Descriptive,Which is the most common activity abstraction in this Do Not Use persona,yes,yes,not_evaluated
1055,activity abstraction,Descriptive,Which is the most common activity abstraction in this TEST persona,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1"
1056,case,Analytical,What is the average cases switch for LES persona,no,yes,SELECT SUM(CAST(case_switch AS INT))/count(DISTINCT event_date) AS avg_case_switch FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1057,case,Analytical,What is the average cases switch for CES persona,no,yes,SELECT SUM(CAST(case_switch AS INT))/count(DISTINCT event_date) AS avg_case_switch FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1058,case,Analytical,What is the average cases switch for Do Not Use persona,yes,yes,not_evaluated
1059,case,Analytical,What is the average cases switch for TEST persona,no,yes,SELECT SUM(CAST(case_switch AS INT))/COUNT(DISTINCT event_date) AS avg_case_switch FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1060,application,Analytical,Is there any mainframe application in this LES persona,no,no,"SELECT COUNT(*) FROM unum_askskan.events_delta_tb WHERE agent_type IN (10, 11) AND persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1"
1061,application,Analytical,Is there any mainframe application in this CES persona,no,no,"SELECT COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type IN (10,11) AND persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1"
1062,application,Analytical,Is there any mainframe application in this Do Not Use persona,yes,no,not_evaluated
1063,application,Analytical,Is there any mainframe application in this TEST persona,no,no,"SELECT COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE agent_type IN (10, 11) AND persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1"
1064,event,Analytical,When is first  event for the day for this LES persona,no,no,"SELECT time as first_event_time,COUNT(date) as cnt FROM(SELECT event_date as date,MIN(SUBSTRING(event_time,12,8)) as time FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <='2023-04-30' GROUP BY date ORDER BY time) GROUP BY first_event_time ORDER BY cnt DESC LIMIT 1"
1065,event,Analytical,When is first  event for the day for this CES persona,no,no,"SELECT time as first_event_time,COUNT(date) as cnt FROM(SELECT event_date as date,MIN(SUBSTRING(event_time,12,8)) as time FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <='2023-04-30' GROUP BY date ORDER BY time) GROUP BY tm ORDER BY cnt DESC LIMIT 1"
1066,event,Analytical,When is first  event for the day for this Do Not Use persona,yes,no,not_evaluated
1067,event,Analytical,When is first  event for the day for this TEST persona,no,no,"SELECT time as first_event_time,COUNT(date) as cnt FROM(SELECT event_date as date,MIN(SUBSTRING(event_time,12,8)) as time FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <='2023-04-30' GROUP BY date ORDER BY time) GROUP BY first_event_time ORDER BY cnt DESC LIMIT 1"
1068,event,Analytical,When is last  event for the day for this LES persona,no,no,"SELECT time as last_event_time,COUNT(date) as cnt FROM(SELECT event_date as date,MAX(SUBSTRING(event_time,12,8)) as time FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <='2023-04-30' GROUP BY date ORDER BY time) GROUP BY last_event_time ORDER BY cnt DESC LIMIT 1"
1069,event,Analytical,When is last  event for the day for this CES persona,no,no,"SELECT time as last_event_time,COUNT(date) as cnt FROM(SELECT event_date as date,MAX(SUBSTRING(event_time,12,8)) as time FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <='2023-04-30' GROUP BY date ORDER BY time) GROUP BY last_event_time ORDER BY cnt DESC LIMIT 1"
1070,event,Analytical,When is last  event for the day for this Do Not Use persona,yes,no,not_evaluated
1071,event,Analytical,When is last  event for the day for this TEST persona,no,no,"SELECT time AS last_event_time, COUNT(date) AS cnt FROM (SELECT event_date AS date, MAX(SUBSTRING(event_time,12,8)) AS time FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY date ORDER BY time) GROUP BY last_event_time ORDER BY cnt DESC LIMIT 1"
1072,case,Insightful,How many cases are we likely to close this week in this LES persona,yes,no,not_evaluated
1073,case,Insightful,How many cases are we likely to close this week in this CES persona,yes,no,not_evaluated
1074,case,Insightful,How many cases are we likely to close this week in this Do Not Use persona,yes,no,not_evaluated
1075,case,Insightful,How many cases are we likely to close this week in this TEST persona,yes,no,not_evaluated
1076,case,Insightful,Which participant will work on the highest count of case this week for this LES persona,yes,no,not_evaluated
1077,case,Insightful,Which participant will work on the highest count of case this week for this CES persona,yes,no,not_evaluated
1078,case,Insightful,Which participant will work on the highest count of case this week for this Do Not Use persona,yes,no,not_evaluated
1079,case,Insightful,Which participant will work on the highest count of case this week for this TEST persona,yes,no,not_evaluated
1080,user,Analytical,what is the average count of users on leave for this LES persona,no,no,"SELECT SUM(30-active_days)/30 AS avg_user_on_leave FROM (SELECT participant_name as participant,COUNT(DISTINCT event_date) AS active_days FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant ORDER BY active_days) LIMIT 1"
1081,user,Analytical,what is the average count of users on leave for this CES persona,no,no,"SELECT SUM(30-active_days)/30 AS avg_user_on_leave FROM (SELECT participant_name as participant,COUNT(DISTINCT event_date) AS active_days FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant ORDER BY active_days) LIMIT 1"
1082,user,Analytical,what is the average count of users on leave for this Do Not Use persona,yes,no,not_evaluated
1083,user,Analytical,what is the average count of users on leave for this TEST persona,no,no,"SELECT SUM(30-active_days)/30 AS avg_user_on_leave FROM (SELECT participant_name as participant,COUNT(DISTINCT event_date) AS active_days FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant ORDER BY active_days) LIMIT 1"
1084,participant,Descriptive,Which hour of the day for this participant CAAJE most productive,no,yes,"SELECT SUBSTRING(event_time,12,2) as hour, SUM(active_time) as productive_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'CAAJE' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY productive_time DESC LIMIT 1"
1085,participant,Descriptive,Which hour of the day for this participant BAB16 most productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, SUM(active_time) AS productive_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'BAB16' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY productive_time DESC LIMIT 1"
1086,participant,Descriptive,Which hour of the day for this participant G8C19 most productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, SUM(active_time) AS productive_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'G8C19' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY productive_time DESC LIMIT 1"
1087,participant,Descriptive,Which hour of the day for this participant GUP22 most productive,no,yes,"SELECT SUBSTRING(event_time,12,2) as hour, SUM(active_time) as productive_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'GUP22' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY SUBSTRING(event_time,12,2) ORDER BY productive_time DESC LIMIT 1"
1088,participant,Descriptive,Which hour of the day for this participant gig19 most productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) as hour, SUM(active_time) as total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'gig19' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY SUBSTRING(event_time, 12, 2) ORDER BY total_active_time DESC LIMIT 1"
1089,participant,Descriptive,Which hour of the day for this participant BKA20 most productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'BKA20' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY total_active_time DESC LIMIT 1"
1090,participant,Descriptive,Which hour of the day for this participant CAAJE least productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'CAAJE' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY total_active_time ASC LIMIT 1"
1091,participant,Descriptive,Which hour of the day for this participant BAB16 least productive,no,yes,"SELECT SUBSTRING(event_time,12,2) AS hour, SUM(active_time) AS productivity FROM unum_askskan.events_delta_tb WHERE participant_name = 'BAB16' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY SUBSTRING(event_time,12,2) ORDER BY productivity ASC LIMIT 1"
1092,participant,Descriptive,Which hour of the day for this participant G8C19 least productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) as hour, SUM(active_time) as productive_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'G8C19' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY productive_time ASC LIMIT 1"
1093,participant,Descriptive,Which hour of the day for this participant GUP22 least productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, SUM(active_time) AS productive_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'GUP22' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY productive_time ASC LIMIT 1"
1094,participant,Descriptive,Which hour of the day for this participant gig19 least productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, SUM(active_time) AS productivity FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND participant_name = 'gig19' GROUP BY hour ORDER BY productivity ASC LIMIT 1"
1095,participant,Descriptive,Which hour of the day for this participant BKA20 least productive,no,yes,"SELECT SUBSTRING(event_time, 12, 2) as hour, SUM(active_time) as productive_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'BKA20' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY productive_time ASC LIMIT 1"
1096,participant,Descriptive,Which day of the week for this participant CAAJE least productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') as day_of_week, SUM(active_time) as total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'CAAJE' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time ASC LIMIT 1"
1097,participant,Descriptive,Which day of the week for this participant BAB16 least productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') as day_of_week, SUM(active_time) as total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'BAB16' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time ASC LIMIT 1"
1098,participant,Descriptive,Which day of the week for this participant G8C19 least productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') as day_of_week, SUM(active_time) as total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'G8C19' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time ASC LIMIT 1"
1099,participant,Descriptive,Which day of the week for this participant GUP22 least productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') as day_of_week, SUM(active_time) as total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'GUP22' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time ASC LIMIT 1"
1100,participant,Descriptive,Which day of the week for this participant gig19 least productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') as day_of_week, SUM(active_time) as total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'gig19' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time ASC LIMIT 1"
1101,participant,Descriptive,Which day of the week for this participant BKA20 least productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') as day_of_week, SUM(active_time) as total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'BKA20' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time ASC LIMIT 1"
1102,participant,Descriptive,Which day of the week for this participant CAAJE most productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'CAAJE' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time DESC LIMIT 1"
1103,participant,Descriptive,Which day of the week for this participant BAB16 most productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'BAB16' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time DESC LIMIT 1"
1104,participant,Descriptive,Which day of the week for this participant G8C19 most productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'G8C19' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time DESC LIMIT 1"
1105,participant,Descriptive,Which day of the week for this participant GUP22 most productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'GUP22' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time DESC LIMIT 1"
1106,participant,Descriptive,Which day of the week for this participant gig19 most productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'gig19' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time DESC LIMIT 1"
1107,participant,Descriptive,Which day of the week for this participant BKA20 most productive,no,yes,"SELECT DATE_FORMAT(event_date, 'EEEE') AS day_of_week, SUM(active_time) AS total_active_time FROM unum_askskan.events_delta_tb WHERE participant_name = 'BKA20' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY total_active_time DESC LIMIT 1"
